underlying
DIA
IWM
QQQ
SPY
EEM
EFA
EWW
EWY
EWZ
FXE
FXI
FXY
GDX
GLD
IYR
SLV
SMH
TLT
USO
XBI
XHB
XLB
XLE
XLI
XLK
XLP
XLV
XLY
XME
XOP
XRT
HYG
XLF
XLU
UNG
EWJ
EMB
EWH
EWU
XLC
